OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051KT,2024-10-06T03:22:03.521856,14.3848491900,0.0100590000,86.1995000000,224.2606000000,172.9400000000,200.3467000000,0,U,34696,999,80442,0.0164030000,0.0005350300,0E-10
IRIDIUM 33 DEB,1997-051KZ,2024-10-05T17:50:06.279936,14.9189173600,0.0025612000,86.2920000000,103.9998000000,346.1585000000,13.8937000000,0,U,34702,999,82951,0.0084080000,0.0008645900,0E-10
IRIDIUM 33 DEB,1997-051LJ,2024-10-05T21:13:03.094176,14.3835337500,0.0015428000,86.3435000000,218.1145000000,193.8767000000,235.3194000000,0,U,34765,999,81465,0.0028197000,0.0000862100,0E-10
IRIDIUM 33 DEB,1997-051LU,2024-10-06T04:15:16.181568,14.7218877500,0.0020413000,86.3680000000,221.1328000000,14.8342000000,50.9790000000,0,U,34775,999,82003,0.0142950000,0.0009152200,0E-10
IRIDIUM 33 DEB,1997-051MH,2024-10-05T21:46:11.709408,14.4752113500,0.0024429000,86.3952000000,236.7689000000,102.2713000000,312.4364000000,0,U,34833,999,81441,0.0050388000,0.0001864400,0E-10
IRIDIUM 33 DEB,1997-051MQ,2024-10-04T09:41:14.609184,14.6434751800,0.0020596000,86.3179000000,151.1844000000,258.2059000000,275.5851000000,0,U,34870,999,82525,0.0047731000,0.0002536700,0E-10
IRIDIUM 33 DEB,1997-051MY,2024-10-05T22:25:22.897056,14.5944038300,0.0027919000,86.3359000000,159.7783000000,258.8172000000,112.1628000000,0,U,34896,999,81290,0.0038526000,0.0001840800,0E-10
IRIDIUM 33 DEB,1997-051NF,2024-10-06T02:53:20.182272,14.3364595300,0.0122327000,86.1485000000,205.3414000000,284.0450000000,139.7272000000,0,U,34926,999,80264,0.0220220000,0.0006694700,0E-10
IRIDIUM 33 DEB,1997-051NH,2024-10-05T11:19:31.519776,14.8495350000,0.0027076000,86.3937000000,176.8121000000,71.4206000000,288.9955000000,0,U,34928,999,59734,0.0080424000,0.0006956800,0E-10
IRIDIUM 33 DEB,1997-051NR,2024-10-05T16:38:11.927904,14.3942375100,0.0020627000,86.3684000000,241.1193000000,207.0412000000,328.3879000000,0,U,34985,999,80939,0.0028549000,0.0000892900,0E-10
IRIDIUM 33 DEB,1997-051NX,2024-10-05T12:42:07.873056,14.4405077000,0.0011486000,86.3315000000,197.1276000000,83.0229000000,277.2278000000,0,U,35051,999,80735,0.0035772000,0.0001227600,0E-10
IRIDIUM 33 DEB,1997-051NY,2024-10-05T12:16:09.732864,14.3749147300,0.0014016000,86.3368000000,205.9741000000,67.2649000000,293.0028000000,0,U,35052,999,81049,0.0014311000,0.0000430700,0E-10
IRIDIUM 33 DEB,1997-051PF,2024-10-05T09:42:41.176800,14.4361630900,0.0119856000,86.2324000000,251.3268000000,214.0029000000,145.3452000000,0,U,35080,999,63356,0.0146530000,0.0005458800,0E-10
IRIDIUM 33 DEB,1997-051PL,2024-10-04T09:39:21.764736,14.9782186900,0.0011171000,86.2970000000,146.0653000000,24.8284000000,335.3482000000,0,U,35296,999,1747,0.0156230000,0.0018851200,0E-10
IRIDIUM 33 DEB,1997-051PM,2024-10-04T16:00:27.669888,14.4166885100,0.0018915000,86.3825000000,247.4181000000,132.2182000000,228.0627000000,0,U,35297,999,64163,0.0037567000,0.0001229400,0E-10
