OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051MH,2024-10-05T21:46:11.709408,14.47521135,0.0024429,86.3952,236.7689,102.2713,312.4364,0,U,34833,999,81441,0.0050388,0.00018644,0
IRIDIUM 33 DEB,1997-051MQ,2024-10-04T09:41:14.609184,14.64347518,0.0020596,86.3179,151.1844,258.2059,275.5851,0,U,34870,999,82525,0.0047731,0.00025367,0
IRIDIUM 33 DEB,1997-051MY,2024-10-05T22:25:22.897056,14.59440383,0.0027919,86.3359,159.7783,258.8172,112.1628,0,U,34896,999,81290,0.0038526,0.00018408,0
IRIDIUM 33 DEB,1997-051NF,2024-10-06T02:53:20.182272,14.33645953,0.0122327,86.1485,205.3414,284.045,139.7272,0,U,34926,999,80264,0.022022,0.00066947,0
IRIDIUM 33 DEB,1997-051NH,2024-10-05T11:19:31.519776,14.849535,0.0027076,86.3937,176.8121,71.4206,288.9955,0,U,34928,999,59734,0.0080424,0.00069568,0
IRIDIUM 33 DEB,1997-051NR,2024-10-05T16:38:11.927904,14.39423751,0.0020627,86.3684,241.1193,207.0412,328.3879,0,U,34985,999,80939,0.0028549,8.929e-05,0
IRIDIUM 33 DEB,1997-051NX,2024-10-05T12:42:07.873056,14.4405077,0.0011486,86.3315,197.1276,83.0229,277.2278,0,U,35051,999,80735,0.0035772,0.00012276,0
IRIDIUM 33 DEB,1997-051NY,2024-10-05T12:16:09.732864,14.37491473,0.0014016,86.3368,205.9741,67.2649,293.0028,0,U,35052,999,81049,0.0014311,4.307e-05,0
IRIDIUM 33 DEB,1997-051PF,2024-10-05T09:42:41.176800,14.43616309,0.0119856,86.2324,251.3268,214.0029,145.3452,0,U,35080,999,63356,0.014653,0.00054588,0
IRIDIUM 33 DEB,1997-051PL,2024-10-04T09:39:21.764736,14.97821869,0.0011171,86.297,146.0653,24.8284,335.3482,0,U,35296,999,1747,0.015623,0.00188512,0
IRIDIUM 33 DEB,1997-051PM,2024-10-04T16:00:27.669888,14.41668851,0.0018915,86.3825,247.4181,132.2182,228.0627,0,U,35297,999,64163,0.0037567,0.00012294,0
IRIDIUM 33 DEB,1997-051PP,2024-10-06T02:59:08.179008,14.3556462,0.0061734,86.2942,220.6814,83.8911,336.198,0,U,35299,999,80224,0.0056738,0.00016741,0
IRIDIUM 33 DEB,1997-051QA,2024-10-06T02:04:11.467776,14.46098871,0.0016887,86.3631,211.8868,102.3111,257.9983,0,U,35480,999,81070,0.0041359,0.00014823,0
IRIDIUM 33 DEB,1997-051QE,2024-10-04T12:03:07.958880,14.71168658,0.0027423,86.3766,191.3355,223.6692,136.2355,0,U,35484,999,81516,0.0088903,0.00055462,0
IRIDIUM 33 DEB,1997-051QJ,2024-10-06T01:15:57.521376,14.70499068,0.0034305,86.3309,138.4494,108.6774,251.8171,0,U,35488,999,81885,0.0055828,0.00034316,0
IRIDIUM 33 DEB,1997-051QN,2024-10-04T01:03:07.877088,14.66653512,0.0009821,86.3666,181.8386,267.5758,92.4331,0,U,35616,999,81167,0.0081111,0.00045395,0
IRIDIUM 33 DEB,1997-051QQ,2024-10-05T11:46:01.309152,14.49248553,0.0032121,86.3465,182.4796,32.8833,327.4361,0,U,35618,999,59111,0.0027957,0.00010751,0
IRIDIUM 33 DEB,1997-051QS,2024-10-05T14:09:17.146656,14.22272658,0.018202,86.3902,38.0383,218.9079,139.8896,0,U,35620,999,78258,0.028525,0.00075742,0
IRIDIUM 33 DEB,1997-051QU,2024-10-05T13:24:46.706688,14.68277669,0.0021234,86.21,110.0319,14.6894,41.2,0,U,35622,999,81080,0.011584,0.00067631,0
IRIDIUM 33 DEB,1997-051RA,2024-10-06T02:54:47.713248,14.5767074,0.0017182,86.3655,200.546,19.1544,341.0307,0,U,35628,999,80780,0.0080736,0.00037078,0
IRIDIUM 33 DEB,1997-051RD,2024-10-05T02:12:07.054848,14.45386142,0.0019882,86.3731,207.3559,120.1166,300.2542,0,U,35631,999,80928,0.0018304,6.472e-05,0
IRIDIUM 33 DEB,1997-051RE,2024-10-05T02:02:04.750944,14.65987529,0.0077386,86.411,322.413,181.9706,178.1215,0,U,35632,999,79500,0.034918,0.00205484,0
IRIDIUM 33 DEB,1997-051RJ,2024-09-30T03:06:46.080864,14.12247736,0.0172161,86.1076,214.3923,231.2942,193.5847,0,U,35680,999,78277,0.0078096,0.00016556,0
IRIDIUM 33 DEB,1997-051RX,2024-10-05T10:14:09.404736,14.62033432,0.0023249,86.3367,159.898,250.7033,109.1663,0,U,35744,999,80978,0.0048918,0.00024717,0
IRIDIUM 33 DEB,1997-051SC,2024-09-24T04:56:04.284960,15.03939897,0.0016975,86.373,185.0896,70.3811,289.9254,0,U,35749,999,79489,0.010636,0.00150018,0
IRIDIUM 33 DEB,1997-051SF,2024-10-05T23:32:41.632224,14.67432374,0.0013857,86.347,166.4278,235.2105,124.7805,0,U,35797,999,81127,0.0067622,0.00038504,0
IRIDIUM 33 DEB,1997-051SP,2024-10-06T04:12:47.928672,14.94915783,0.0054424,86.308,245.5459,115.3412,245.3468,0,U,35805,999,79331,0.044082,0.00525059,0
IRIDIUM 33 DEB,1997-051SQ,2024-10-03T02:15:04.786560,14.49829812,0.0018875,86.3508,211.3485,90.066,270.2708,0,U,35806,999,79993,0.0077989,0.00030282,0
IRIDIUM 33 DEB,1997-051ST,2024-10-01T23:12:08.114976,14.62728741,0.001621,86.3383,172.2774,330.4245,29.6048,0,U,35809,999,80391,0.0047353,0.00024247,0
IRIDIUM 33 DEB,1997-051SW,2024-10-04T15:03:29.446560,14.40045459,0.0019048,86.3742,243.5416,159.9721,200.223,0,U,35846,999,65073,0.0035702,0.00011303,0
IRIDIUM 33 DEB,1997-051SY,2024-10-06T02:28:23.978784,14.64777219,0.000702,86.4005,208.5904,292.8048,67.2423,0,U,35848,999,79907,0.0083167,0.00044615,0
IRIDIUM 33 DEB,1997-051TA,2024-10-03T11:19:23.347200,14.65118727,0.0010763,86.3604,180.1679,287.2944,72.7091,0,U,35850,999,81030,0.0054194,0.00029249,0
IRIDIUM 33 DEB,1997-051TU,2024-10-05T11:44:04.941312,14.60757834,0.0065032,86.2254,184.172,98.5521,262.3066,0,U,35911,999,80641,0.017359,0.00088265,0
IRIDIUM 33 DEB,1997-051TY,2024-10-05T11:11:29.726592,14.65681544,0.0013038,86.3546,178.6246,279.3564,80.6175,0,U,35915,999,1704,0.0066112,0.00036178,0
IRIDIUM 33 DEB,1997-051UB,2024-10-05T06:10:25.180032,14.45102326,0.0028314,86.3996,260.9165,172.6024,250.2456,0,U,35918,999,78931,0.0056721,0.00019985,0
IRIDIUM 33 DEB,1997-051UE,2024-10-05T21:03:50.363136,14.9290971,0.0049246,86.4104,330.1429,261.2211,98.3438,0,U,35921,999,59070,0.035288,0.00394694,0
IRIDIUM 33 DEB,1997-051UN,2024-10-02T23:03:43.178688,14.75864289,0.0022312,86.3494,154.6853,126.7145,233.6128,0,U,35929,999,81362,0.0074966,0.00052001,0
IRIDIUM 33 DEB,1997-051US,2024-10-03T15:03:06.280128,14.38815222,0.0016168,86.3437,221.8481,206.3609,274.9484,0,U,36011,999,79185,0.0028969,8.941e-05,0
IRIDIUM 33 DEB,1997-051UT,2024-10-06T00:07:45.006528,14.0764262,0.024593,86.4477,120.1594,186.023,173.7984,0,U,36012,999,77520,0.018328,0.00041017,0
IRIDIUM 33 DEB,1997-051VA,2024-10-05T12:33:30.799296,15.08771616,0.0013811,86.3802,183.9118,96.1792,78.9985,0,U,36019,999,80147,0.015934,0.0025954,0
IRIDIUM 33 DEB,1997-051VK,2024-10-05T21:32:07.668672,14.73669501,0.0025108,86.3321,146.7376,135.0422,225.2835,0,U,36028,999,80701,0.0065728,0.00043322,0
IRIDIUM 33 DEB,1997-051VM,2024-10-05T12:10:44.303808,14.43196006,0.0018739,86.326,196.1964,150.8814,209.3435,0,U,36080,999,41157,0.0034997,0.00011816,0
